iter	RMSE
0	0.1606342289
1	0.1606159889
2	0.1605965255
3	0.1605803363
4	0.1605607128
5	0.1605426901
6	0.1605244845
7	0.160508172
8	0.1604948763
9	0.1604734927
10	0.1604535967
11	0.1604360999
12	0.160416215
13	0.1603949192
14	0.1603796597
15	0.160360972
16	0.1603413222
17	0.1603232313
18	0.1603089344
19	0.160289553
20	0.1602738502
21	0.1602572841
22	0.1602422271
23	0.160225373
24	0.1602132217
25	0.1601974523
26	0.1601846452
27	0.1601657132
28	0.1601496613
29	0.1601322437
30	0.1601165482
31	0.1601014321
32	0.1600866897
33	0.1600749282
34	0.1600598637
35	0.1600475988
36	0.160035353
37	0.1600234932
38	0.1600087621
39	0.1599967737
40	0.1599831437
41	0.1599695936
42	0.1599530579
43	0.1599384875
44	0.1599253878
45	0.1599094635
46	0.1598964827
47	0.1598812752
48	0.1598717337
49	0.15985866
50	0.1598460257
51	0.1598372891
52	0.1598279047
53	0.1598130633
54	0.1598004652
55	0.1597873237
56	0.1597713008
57	0.1597585405
58	0.1597458727
59	0.1597336241
60	0.159718487
61	0.159705788
62	0.1596905595
63	0.1596821146
64	0.1596674971
65	0.1596535275
66	0.1596422686
67	0.1596319374
68	0.1596188108
69	0.159606836
70	0.1595930242
71	0.1595790962
72	0.1595676627
73	0.1595601095
74	0.159548099
75	0.1595354922
76	0.1595260377
77	0.1595167105
78	0.1595024121
79	0.1594928259
80	0.1594816977
81	0.15946924
82	0.1594603073
83	0.1594492297
84	0.1594406202
85	0.1594262966
86	0.1594125972
87	0.1594024304
88	0.1593889807
89	0.1593777624
90	0.1593659088
91	0.1593545859
92	0.1593463863
93	0.159337454
94	0.1593262123
95	0.1593168421
96	0.1593063227
97	0.1592964417
98	0.1592832117
99	0.1592734067
100	0.159262061
101	0.159254447
102	0.159246881
103	0.1592352262
104	0.1592267443
105	0.1592177135
106	0.159206215
107	0.1591972487
108	0.1591818176
109	0.1591693077
110	0.1591581103
111	0.1591474792
112	0.1591385586
113	0.1591275704
114	0.1591144099
115	0.1591022112
116	0.1590927986
117	0.1590829098
118	0.159074744
119	0.1590614165
120	0.1590544083
121	0.1590448084
122	0.1590354803
123	0.1590204926
124	0.159013065
125	0.1589969789
126	0.1589808827
127	0.1589713991
128	0.1589627081
129	0.1589540586
130	0.1589465042
131	0.1589351008
132	0.158927057
133	0.1589181425
134	0.1589124753
135	0.158902474
136	0.1588934134
137	0.1588839083
138	0.1588761012
139	0.1588648176
140	0.1588574872
141	0.1588453679
142	0.1588343297
143	0.1588252332
144	0.158816307
145	0.1588021096
146	0.1587907743
147	0.1587814199
148	0.1587747946
149	0.1587676413
150	0.1587555957
151	0.1587469089
152	0.1587376622
153	0.1587346263
154	0.1587240958
155	0.1587165284
156	0.1587081441
157	0.1586955777
158	0.1586846896
159	0.15867699
160	0.1586667938
161	0.1586563161
162	0.1586419536
163	0.1586293525
164	0.1586196277
165	0.1586113753
166	0.158602542
167	0.1585956717
168	0.1585872708
169	0.1585789118
170	0.1585717256
171	0.1585636758
172	0.1585553905
173	0.158544604
174	0.1585309891
175	0.1585244546
176	0.1585170963
177	0.1585089133
178	0.1584993596
179	0.1584920816
180	0.1584812052
181	0.1584702304
182	0.158462004
183	0.1584540857
184	0.1584441326
185	0.1584378257
186	0.1584209242
187	0.1584139814
188	0.1584069649
189	0.1583990604
190	0.158389131
191	0.1583818397
192	0.1583733599
193	0.1583672128
194	0.1583484583
195	0.1583380011
196	0.1583317387
197	0.1583219541
198	0.1583165671
199	0.1583094313
200	0.1582983233
201	0.1582908529
202	0.158282788
203	0.1582750578
204	0.1582659271
205	0.1582596792
206	0.1582517481
207	0.1582425391
208	0.1582345007
209	0.1582255845
210	0.1582124005
211	0.1582051061
212	0.1581990421
213	0.1581885422
214	0.158178276
215	0.1581703982
216	0.1581603671
217	0.158152634
218	0.1581450172
219	0.1581362705
220	0.1581287069
221	0.1581169932
222	0.1581083113
223	0.1581003741
224	0.1580899437
225	0.1580824507
226	0.1580771451
227	0.15806729
228	0.1580622267
229	0.1580502931
230	0.158044723
231	0.1580364531
232	0.158030065
233	0.1580191311
234	0.1580133125
235	0.1580037461
236	0.1579963228
237	0.1579888293
238	0.1579777292
239	0.157970341
240	0.1579627676
241	0.1579513389
242	0.1579423788
243	0.1579318668
244	0.1579227604
245	0.157912601
246	0.1579076047
247	0.1578979792
248	0.1578910544
249	0.1578821455
250	0.1578723528
251	0.1578630894
252	0.1578551222
253	0.1578464392
254	0.1578398695
255	0.1578292508
256	0.1578209271
257	0.1578087806
258	0.1578015969
259	0.1577913779
260	0.1577862479
261	0.1577784488
262	0.1577741639
263	0.1577678573
264	0.1577623489
265	0.15775251
266	0.1577431261
267	0.1577342066
268	0.1577283215
269	0.157722042
270	0.1577111274
271	0.1576974147
272	0.1576877741
273	0.1576791223
274	0.1576720485
275	0.1576659306
276	0.1576593285
277	0.1576513158
278	0.1576432059
279	0.1576340611
280	0.1576261184
281	0.1576181645
282	0.1576091792
283	0.1575995246
284	0.1575921424
285	0.1575846385
286	0.1575765265
287	0.1575699802
288	0.1575645668
289	0.1575562626
290	0.157548925
291	0.1575437273
292	0.1575395218
293	0.1575298793
294	0.1575226617
295	0.1575139697
296	0.1575062118
297	0.157501681
298	0.1574935749
299	0.1574856396
300	0.1574812503
301	0.1574722078
302	0.1574598188
303	0.157453287
304	0.1574416545
305	0.1574305648
306	0.1574247835
307	0.1574150647
308	0.1574049751
309	0.1573973739
310	0.1573808445
311	0.1573729845
312	0.1573664067
313	0.1573563895
314	0.1573513691
315	0.1573407868
316	0.1573362644
317	0.1573316708
318	0.1573235185
319	0.1573125552
320	0.1573064558
321	0.1573013305
322	0.1572958796
323	0.1572899174
324	0.1572811857
325	0.1572761409
326	0.1572713516
327	0.1572655868
328	0.1572548414
329	0.1572511773
330	0.1572416029
331	0.1572317498
332	0.1572259123
333	0.1572178743
334	0.1572114679
335	0.157203826
336	0.1571963986
337	0.157189507
338	0.1571814003
339	0.1571718753
340	0.1571689928
341	0.157155962
342	0.1571489023
343	0.1571422666
344	0.1571343151
345	0.1571286137
346	0.1571225571
347	0.1571120934
348	0.1571046306
349	0.1570971865
350	0.1570874493
351	0.1570790131
352	0.1570698198
353	0.1570652853
354	0.1570596714
355	0.1570530361
356	0.1570428919
357	0.1570335623
358	0.1570297245
359	0.1570233149
360	0.1570159334
361	0.15700931
362	0.157002691
363	0.1569890043
364	0.1569821979
365	0.1569734187
366	0.1569667167
367	0.1569572637
368	0.1569529261
369	0.1569470298
370	0.156939952
371	0.1569358562
372	0.1569305966
373	0.1569208007
374	0.156915848
375	0.1569099397
376	0.1569063674
377	0.1569022548
378	0.1568946694
379	0.1568860712
380	0.1568738269
381	0.1568693647
382	0.1568552892
383	0.1568464449
384	0.1568353478
385	0.1568275656
386	0.1568205188
387	0.1568181529
388	0.1568078446
389	0.15680114
390	0.1567951148
391	0.1567868336
392	0.1567795656
393	0.156774109
394	0.1567642875
395	0.1567543028
396	0.156745114
397	0.1567370397
398	0.1567329531
399	0.1567246141
400	0.1567173006
401	0.1567066759
402	0.1567016955
403	0.1566933405
404	0.1566859232
405	0.1566774823
406	0.1566698187
407	0.156665392
408	0.1566581005
409	0.1566524557
410	0.1566414211
411	0.1566332743
412	0.1566237362
413	0.1566167084
414	0.1566108679
415	0.1566099293
416	0.1566031655
417	0.1565941845
418	0.1565923941
419	0.1565880687
420	0.1565824168
421	0.1565726899
422	0.1565652485
423	0.1565587321
424	0.1565518713
425	0.1565435589
426	0.1565410873
427	0.1565314389
428	0.1565217055
429	0.1565123975
430	0.1565045193
431	0.1564971681
432	0.1564908919
433	0.1564805596
434	0.156471471
435	0.1564663709
436	0.1564601479
437	0.1564528203
438	0.1564463769
439	0.156440902
440	0.1564336989
441	0.1564250857
442	0.1564193962
443	0.1564042893
444	0.1563959668
445	0.1563888756
446	0.1563837758
447	0.1563773969
448	0.1563681312
449	0.1563641199
450	0.1563578934
451	0.156349211
452	0.1563427176
453	0.1563388929
454	0.1563322885
455	0.156321409
456	0.1563107479
457	0.1563061864
458	0.1563007426
459	0.1562929591
460	0.1562873203
461	0.1562759525
462	0.1562664638
463	0.1562609934
464	0.1562561551
465	0.1562399168
466	0.1562331847
467	0.1562252099
468	0.1562199775
469	0.1562118585
470	0.1562040449
471	0.1561930277
472	0.1561884294
473	0.1561820733
474	0.1561739806
475	0.1561675082
476	0.156161598
477	0.1561558256
478	0.1561499405
479	0.1561419219
480	0.1561310651
481	0.1561270932
482	0.1561211594
483	0.1561104366
484	0.1561017808
485	0.156094802
486	0.1560903387
487	0.1560808797
488	0.1560750915
489	0.1560651188
490	0.156051243
491	0.1560419119
492	0.156036265
493	0.1560298688
494	0.1560247405
495	0.1560154216
496	0.1560040748
497	0.1559993475
498	0.1559892559
499	0.1559833974
