iter	Passed	Remaining
0	7	3647
1	14	3548
2	20	3451
3	27	3436
4	34	3433
5	41	3414
6	48	3394
7	54	3331
8	60	3319
9	67	3300
10	73	3257
11	78	3173
12	82	3099
13	87	3047
14	93	3016
15	98	2972
16	103	2945
17	108	2911
18	113	2878
19	118	2844
20	123	2822
21	128	2791
22	133	2761
23	138	2739
24	143	2718
25	148	2699
26	152	2679
27	157	2662
28	163	2658
29	168	2645
30	173	2630
31	178	2612
32	183	2595
33	188	2581
34	193	2573
35	198	2558
36	203	2545
37	208	2529
38	212	2515
39	217	2504
40	223	2497
41	228	2486
42	232	2475
43	237	2464
44	242	2452
45	247	2438
46	252	2429
47	257	2420
48	261	2407
49	266	2401
50	271	2394
51	276	2385
52	281	2374
53	286	2363
54	291	2355
55	295	2343
56	300	2337
57	305	2330
58	310	2319
59	315	2311
60	320	2305
61	324	2295
62	329	2288
63	335	2282
64	339	2274
65	344	2265
66	349	2260
67	354	2252
68	359	2245
69	364	2240
70	370	2235
71	375	2231
72	380	2226
73	387	2228
74	392	2223
75	398	2220
76	403	2214
77	408	2210
78	413	2206
79	418	2198
80	423	2192
81	428	2186
82	434	2180
83	439	2177
84	444	2170
85	450	2168
86	455	2163
87	461	2159
88	466	2155
89	471	2149
90	476	2143
91	482	2137
92	487	2132
93	492	2126
94	497	2120
95	502	2113
96	507	2107
97	512	2101
98	517	2094
99	523	2092
100	528	2086
101	533	2080
102	538	2074
103	543	2068
104	548	2061
105	553	2056
106	558	2050
107	563	2043
108	568	2038
109	573	2032
110	578	2027
111	583	2021
112	589	2017
113	594	2013
114	600	2009
115	605	2004
116	611	2001
117	616	1995
118	621	1990
119	626	1984
120	632	1980
121	637	1975
122	643	1973
123	651	1976
124	658	1975
125	665	1974
126	671	1972
127	678	1970
128	685	1971
129	691	1967
130	696	1962
131	702	1959
132	708	1953
133	713	1947
134	717	1940
135	723	1935
136	728	1929
137	733	1923
138	738	1917
139	743	1911
140	748	1905
141	753	1899
142	758	1893
143	763	1887
144	768	1880
145	773	1874
146	777	1867
147	782	1861
148	788	1856
149	793	1850
150	797	1844
151	802	1838
152	807	1831
153	810	1821
154	815	1815
155	820	1809
156	825	1804
157	831	1799
158	836	1794
159	842	1789
160	848	1786
161	853	1781
162	859	1776
163	864	1771
164	869	1765
165	874	1759
166	879	1754
167	885	1749
168	890	1744
169	895	1738
170	901	1733
171	906	1729
172	911	1723
173	916	1718
174	922	1713
175	927	1707
176	932	1701
177	938	1697
178	943	1692
179	949	1687
180	954	1682
181	959	1676
182	964	1670
183	970	1665
184	975	1660
185	979	1653
186	985	1648
187	990	1643
188	994	1636
189	999	1631
190	1005	1625
191	1010	1620
192	1015	1614
193	1020	1609
194	1025	1604
195	1030	1598
196	1035	1592
197	1040	1587
198	1045	1580
199	1049	1574
200	1054	1568
201	1059	1563
202	1064	1557
203	1069	1552
204	1075	1547
205	1080	1541
206	1085	1536
207	1090	1531
208	1095	1525
209	1101	1520
210	1107	1516
211	1112	1511
212	1118	1506
213	1123	1501
214	1129	1497
215	1134	1492
216	1140	1487
217	1145	1481
218	1150	1476
219	1155	1471
220	1160	1465
221	1166	1460
222	1171	1455
223	1176	1449
224	1181	1443
225	1186	1438
226	1191	1433
227	1196	1427
228	1201	1422
229	1206	1416
230	1210	1410
231	1215	1404
232	1220	1398
233	1224	1392
234	1230	1387
235	1235	1382
236	1240	1376
237	1245	1371
238	1250	1366
239	1255	1360
240	1260	1354
241	1265	1349
242	1270	1343
243	1275	1337
244	1280	1332
245	1284	1326
246	1289	1320
247	1294	1314
248	1299	1309
249	1303	1303
250	1308	1298
251	1313	1292
252	1318	1286
253	1322	1281
254	1327	1275
255	1332	1270
256	1337	1264
257	1342	1259
258	1347	1253
259	1352	1248
260	1357	1242
261	1362	1237
262	1367	1232
263	1372	1226
264	1376	1220
265	1382	1215
266	1387	1210
267	1392	1205
268	1397	1200
269	1402	1194
270	1408	1189
271	1413	1184
272	1418	1179
273	1422	1173
274	1428	1168
275	1433	1163
276	1437	1157
277	1443	1152
278	1447	1146
279	1452	1141
280	1457	1135
281	1462	1130
282	1467	1125
283	1472	1120
284	1477	1114
285	1481	1108
286	1487	1104
287	1492	1098
288	1497	1093
289	1503	1088
290	1508	1083
291	1513	1078
